,GrLivArea,BedroomAbvGr,FullBath,HalfBath,SalePrice
0,1710,3,2,1,208500
1,1262,3,2,0,181500
2,1786,3,2,1,223500
3,1717,3,1,0,140000
4,2198,4,2,1,250000
5,1362,1,1,1,143000
6,1694,3,2,0,307000
7,2090,3,2,1,200000
8,1774,2,2,0,129900
9,1077,2,1,0,118000
10,1040,3,1,0,129500
11,2324,4,3,0,345000
12,912,2,1,0,144000
13,1494,3,2,0,279500
14,1253,2,1,1,157000
15,854,2,1,0,132000
16,1004,2,1,0,149000
17,1296,2,2,0,90000
18,1114,3,1,1,159000
19,1339,3,1,0,139000
20,2376,4,3,1,325300
21,1108,3,1,0,139400
22,1795,3,2,0,230000
23,1060,3,1,0,129900
24,1060,3,1,0,154000
25,1600,3,2,0,256300
26,900,3,1,0,134800
27,1704,3,2,0,306000
28,1600,2,1,0,207500
29,520,1,1,0,68500
30,1317,3,1,0,40000
31,1228,3,1,1,149350
32,1234,3,2,0,179900
33,1700,4,1,1,165500
34,1561,2,2,0,277500
35,2452,4,3,1,309000
36,1097,3,1,1,145000
37,1297,3,1,0,153000
38,1057,3,1,0,109000
39,1152,2,2,0,82000
40,1324,3,2,0,160000
41,1328,2,1,1,170000
42,884,2,1,0,144000
43,938,3,1,0,130250
44,1150,3,1,0,141000
45,1752,2,2,0,319900
46,2149,1,1,1,239686
47,1656,3,2,0,249700
48,1452,2,2,0,113000
49,955,3,1,0,127000
50,1470,3,2,0,177000
51,1176,3,1,0,114500
52,816,2,1,0,110000
53,1842,0,0,1,385000
54,1360,3,1,0,130000
55,1425,3,2,0,180500
56,1739,3,2,1,172500
57,1720,3,2,1,196500
58,2945,3,3,1,438780
59,780,2,1,0,124900
60,1158,3,1,1,158000
61,1111,3,1,0,101000
62,1370,2,2,0,202500
63,1710,3,2,0,140000
64,2034,3,2,1,219500
65,2473,4,2,1,317000
66,2207,3,2,0,180000
67,1479,3,2,0,226000
68,747,2,1,0,80000
69,2287,3,2,0,225000
70,2223,3,2,0,244000
71,845,2,1,0,129500
72,1718,3,2,1,185000
73,1086,3,1,0,144900
74,1605,3,2,0,107400
75,988,2,1,0,91000
76,952,2,1,0,135750
77,1285,2,1,0,127000
78,1768,4,2,0,136500
79,1230,2,1,1,110000
80,2142,4,2,1,193500
81,1337,2,2,0,153500
82,1563,3,2,0,245000
83,1065,3,1,1,126500
84,1474,3,2,1,168500
85,2417,4,2,1,260000
86,1560,3,2,1,174000
87,1224,2,2,1,164500
88,1526,2,1,0,85000
89,990,3,1,0,123600
90,1040,2,1,0,109900
91,1235,2,1,0,98600
92,964,2,1,0,163500
93,2291,4,2,0,133900
94,1786,3,2,1,204750
95,1470,3,2,1,185000
96,1588,3,2,0,214000
97,960,3,1,0,94750
98,835,2,1,0,83000
99,1225,3,1,1,128950
100,1610,3,2,0,205000
101,1732,3,2,1,178000
102,1535,4,2,0,118964
103,1226,3,2,0,198900
104,1818,4,1,1,169500
105,1992,3,2,1,250000
106,1047,2,1,0,100000
107,789,2,1,0,115000
108,1517,3,2,0,115000
109,1844,3,2,0,190000
110,1855,4,2,0,136900
111,1430,3,2,1,180000
112,2696,4,2,1,383970
113,2259,3,2,0,217000
114,2320,3,2,1,259500
115,1458,2,2,1,176000
116,1092,3,1,0,139000
117,1125,2,1,1,155000
118,3222,5,3,0,320000
119,1456,3,2,1,163990
120,988,1,1,0,180000
121,1123,3,1,0,100000
122,1080,3,1,0,136000
123,1199,2,2,0,153900
124,1586,3,2,0,181000
125,754,2,1,0,84500
126,958,2,2,0,128000
127,840,3,1,0,87000
128,1348,3,1,1,155000
129,1053,3,1,1,150000
130,2157,4,2,1,226000
131,2054,3,2,1,244000
132,1327,3,1,0,150750
133,1296,2,2,0,220000
134,1721,3,2,1,180000
135,1682,3,2,0,174000
136,1214,3,2,0,143000
137,1959,5,3,0,171000
138,1852,3,2,1,230000
139,1764,3,2,1,231500
140,864,3,1,0,115000
141,1734,3,2,0,260000
142,1385,4,2,0,166000
143,1501,3,2,0,204000
144,1728,6,2,0,125000
145,1709,3,2,0,130000
146,875,2,1,0,105000
147,2035,3,2,1,222500
148,1080,3,1,0,141000
149,1344,3,1,0,115000
150,969,3,1,1,122000
151,1710,2,2,0,372402
152,1993,4,2,1,190000
153,1252,1,1,0,235000
154,1200,4,1,0,125000
155,1096,2,1,0,79000
156,1040,2,1,0,109500
157,1968,4,2,1,269500
158,1947,3,2,1,254900
159,2462,4,2,1,320000
160,1232,3,2,0,162500
161,2668,3,2,1,412500
162,1541,3,2,0,220000
163,882,1,1,0,103200
164,1616,3,2,0,152000
165,1355,4,2,0,127500
166,1867,2,1,0,190000
167,2161,3,1,1,325624
168,1720,3,2,1,183500
169,1707,2,2,1,228000
170,1382,2,1,1,128500
171,1656,3,1,0,215000
172,1767,2,2,0,239000
173,1362,3,1,1,163000
174,1651,3,2,0,184000
175,2158,4,2,0,243000
176,2060,4,2,1,211000
177,1920,4,2,0,172500
178,2234,1,2,0,501837
179,968,2,1,0,100000
180,1525,3,2,1,177000
181,1802,4,1,1,200100
182,1340,3,1,0,120000
183,2082,3,2,1,200000
184,1252,3,1,0,127000
185,3608,4,2,1,475000
186,1217,3,2,0,173000
187,1656,3,2,1,135000
188,1224,2,0,2,153337
189,1593,0,1,1,286000
190,2727,3,2,1,315000
191,1479,4,1,1,184000
192,1431,3,2,0,192000
193,1709,3,2,0,130000
194,864,3,1,0,127000
195,1456,3,2,1,148500
196,1726,3,2,0,311872
197,3112,4,2,0,235000
198,2229,5,1,0,104000
199,1713,3,2,0,274900
200,1121,2,2,0,140000
201,1279,3,2,0,171500
202,1310,2,2,0,112000
203,848,1,1,0,149000
204,1284,2,1,1,110000
205,1442,3,2,0,180500
206,1696,3,1,1,143900
207,1100,3,1,0,141000
208,2062,3,2,1,277000
209,1092,3,1,0,145000
210,864,2,1,0,98000
211,1212,3,2,0,186000
212,1852,3,2,1,252678
213,990,3,1,0,156000
214,1392,3,1,1,161750
215,1236,2,1,0,134450
216,1436,3,2,0,210000
217,1328,3,1,0,107000
218,1954,3,1,1,311500
219,1248,2,2,0,167240
220,1498,2,2,0,204900
221,2267,4,2,1,200000
222,1552,3,2,1,179900
223,864,2,1,0,97000
224,2392,3,2,0,386250
225,1302,3,2,1,112000
226,2520,4,2,1,290000
227,987,2,1,1,106000
228,912,3,1,0,125000
229,1555,2,2,0,192500
230,1194,3,1,0,148000
231,2794,4,2,1,403000
232,987,2,1,1,94500
233,894,3,1,0,128200
234,1960,4,2,1,216500
235,987,2,1,1,89500
236,1414,3,2,0,185500
237,1744,3,2,1,194500
238,1694,3,2,0,318000
239,1487,3,1,1,113000
240,1566,3,2,0,262500
241,866,2,1,0,110500
242,1440,3,1,0,79000
243,1217,3,1,1,120000
244,2110,3,2,1,205000
245,1872,3,2,0,241500
246,1928,4,2,0,137000
247,1375,2,1,0,140000
248,1668,3,2,1,180000
249,2144,4,2,0,277000
250,1306,3,1,0,76500
251,1625,2,2,0,235000
252,1640,3,2,1,173000
253,1302,3,2,0,158000
254,1314,3,1,0,145000
255,2291,4,2,1,230000
256,1728,3,2,1,207500
257,1604,3,2,1,220000
258,1792,3,2,1,231500
259,882,2,1,0,97000
260,1382,3,1,0,176000
261,2574,3,2,1,276000
262,1212,3,1,0,151000
263,1316,3,1,0,130000
264,764,2,1,0,73000
265,1422,3,2,0,175500
266,1511,3,2,1,185000
267,2192,4,2,1,179500
268,778,2,1,0,120500
269,1113,3,1,1,148000
270,1939,3,2,1,266000
271,1363,2,1,0,241500
272,2270,4,2,1,290000
273,1632,3,2,0,139000
274,816,2,1,0,124500
275,1548,3,2,1,205000
276,1560,3,2,0,201000
277,864,2,1,0,141000
278,2121,3,2,1,415298
279,2022,4,2,1,192000
280,1982,3,2,1,228500
281,1262,2,2,0,185000
282,1314,2,2,0,207500
283,1468,3,2,0,244600
284,1575,2,2,0,179200
285,1250,2,2,1,164700
286,1734,3,1,1,159000
287,858,3,1,0,88000
288,900,3,1,0,122000
289,1396,3,1,0,153575
290,1919,3,2,1,233230
291,1716,6,2,0,135900
292,1716,3,1,1,131000
293,2263,3,2,1,235000
